ablation,variant,target,bss
feature_tier,pressure_only,precip_6h,0.12279940378835774
feature_tier,pressure_only,precip_12h,0.11694101689824976
feature_tier,pressure_only,precip_24h,0.09679947722684568
feature_tier,plus_auto,precip_6h,0.16263412730630478
feature_tier,plus_auto,precip_12h,0.15195826942328017
feature_tier,plus_auto,precip_24h,0.12715036260621193
feature_tier,full_manual,precip_6h,0.3907930238748746
feature_tier,full_manual,precip_12h,0.321900372643398
feature_tier,full_manual,precip_24h,0.24975272577299001
missing_inputs,mask_0pct,precip_6h,0.3907930238748746
missing_inputs,mask_50pct,precip_6h,0.27152539951574917
missing_inputs,mask_100pct,precip_6h,0.15036728713228797
missing_inputs,mask_0pct,precip_12h,0.321900372643398
missing_inputs,mask_50pct,precip_12h,0.23167165734531203
missing_inputs,mask_100pct,precip_12h,0.14045984984461746
missing_inputs,mask_0pct,precip_24h,0.24975272577299001
missing_inputs,mask_50pct,precip_24h,0.18348187957552242
missing_inputs,mask_100pct,precip_24h,0.11790090686355126
missing_inputs,mask_0pct,windup_12h,0.4024221126106302
missing_inputs,mask_50pct,windup_12h,0.2852331699590316
missing_inputs,mask_100pct,windup_12h,0.16824503188878204
missing_inputs,mask_0pct,pfall_12h,0.4089975500356371
missing_inputs,mask_50pct,pfall_12h,0.3874891213517798
missing_inputs,mask_100pct,pfall_12h,0.3658771927444969
tide,off,precip_6h,0.3925758445248356
tide,off,precip_12h,0.3235308449568418
tide,off,precip_24h,0.2512735980780687
tide,off,pfall_6h,0.5342394425044594
tide,off,pfall_12h,0.4556176168585834
tide,off,pfall_24h,0.2705381095792898
tide,on,precip_6h,0.3907930238748746
tide,on,precip_12h,0.321900372643398
tide,on,precip_24h,0.24975272577299001
tide,on,pfall_6h,0.4927274020347804
tide,on,pfall_12h,0.4089975500356371
tide,on,pfall_24h,0.24161212873308613
