cell,target,model,bss,bss_val,auc,n,bss_minus_sager,diff_lo,diff_hi,heidke,peirce
A_trainstation_testyears,precip_6h,gbm,0.3907930238748746,0.3971843228123333,0.8775384285087132,669057,0.17897344872832488,0.1754709241331154,0.18265205868068193,,
C_teststation_testyears,precip_6h,gbm,0.3205031111349882,0.3971843228123333,0.8292446250445752,90203,,,,,
B_teststation_trainyears,precip_6h,gbm,0.23897225738240968,0.3971843228123333,0.8230406800516501,440399,,,,,
A_trainstation_testyears,precip_12h,gbm,0.321900372643398,0.3309917952786169,0.8481717204487901,669382,0.19097178802914216,0.1864238568250421,0.19518947210665166,,
C_teststation_testyears,precip_12h,gbm,0.23304598306424562,0.3309917952786169,0.7836569734890096,90234,,,,,
B_teststation_trainyears,precip_12h,gbm,0.1843536545419654,0.3309917952786169,0.7923435791988542,439628,,,,,
A_trainstation_testyears,precip_24h,gbm,0.24975272577299001,0.2643868991665188,0.8244293179343642,668829,0.19693059193109785,0.19118184807082111,0.2022690430163221,,
C_teststation_testyears,precip_24h,gbm,0.1727231610966895,0.2643868991665188,0.7499806342996002,90199,,,,,
B_teststation_trainyears,precip_24h,gbm,0.12579320909498137,0.2643868991665188,0.7628150897022496,438130,,,,,
A_trainstation_testyears,windup_6h,gbm,0.375822618013092,0.3788969591772545,0.864790419304097,661937,0.36217474205218314,0.35925259520127084,0.36506001577353064,,
C_teststation_testyears,windup_6h,gbm,0.2901722664815226,0.3788969591772545,0.8290581716684722,89920,,,,,
B_teststation_trainyears,windup_6h,gbm,0.21299211471265056,0.3788969591772545,0.7914285926512921,437695,,,,,
A_trainstation_testyears,windup_12h,gbm,0.4024221126106302,0.4062584774383924,0.8690409058447266,663278,0.3869206749235643,0.3838577310652019,0.39005537882234864,,
C_teststation_testyears,windup_12h,gbm,0.3174560425055736,0.4062584774383924,0.8333889421903686,89984,,,,,
B_teststation_trainyears,windup_12h,gbm,0.2551335818185596,0.4062584774383924,0.801279302727393,435791,,,,,
A_trainstation_testyears,windup_24h,gbm,0.35640741096733897,0.36296929530245625,0.8502863831808346,662910,0.34918845421570965,0.3461159682559225,0.35272780906196405,,
C_teststation_testyears,windup_24h,gbm,0.26373457723259497,0.36296929530245625,0.811702540789129,89952,,,,,
B_teststation_trainyears,windup_24h,gbm,0.20950483039014767,0.36296929530245625,0.7734401843167905,434235,,,,,
A_trainstation_testyears,pfall_6h,gbm,0.4927274020347804,0.48886078897317786,0.9530835370402289,667575,0.5905078427987897,0.5817360978423689,0.5982307906563744,,
C_teststation_testyears,pfall_6h,gbm,0.3262637393761033,0.48886078897317786,0.8949324734993602,90142,,,,,
B_teststation_trainyears,pfall_6h,gbm,0.34186245347863686,0.48886078897317786,0.8982664736174706,435103,,,,,
A_trainstation_testyears,pfall_12h,gbm,0.4089975500356371,0.41496790119668725,0.9122120376507512,668217,0.5199457861487855,0.5116533974115416,0.5273598033340802,,
C_teststation_testyears,pfall_12h,gbm,0.28901919611489435,0.41496790119668725,0.8425400263758644,90188,,,,,
B_teststation_trainyears,pfall_12h,gbm,0.2964556959127065,0.41496790119668725,0.8464549332143096,431511,,,,,
A_trainstation_testyears,pfall_24h,gbm,0.24161212873308613,0.2526951440365285,0.839814731286153,667597,0.3569595320000394,0.3503303049231454,0.3639751128321265,,
C_teststation_testyears,pfall_24h,gbm,0.15685025619802695,0.2526951440365285,0.7648623359323499,90144,,,,,
B_teststation_trainyears,pfall_24h,gbm,0.17563607979139895,0.2526951440365285,0.7737851898946327,432462,,,,,
A_trainstation_testyears,cond_12h,gbm,,,,670280,,,,0.3549398842307842,0.3359133251377473
C_teststation_testyears,cond_12h,gbm,,,,90276,,,,0.307023265313518,0.2935166722291843
B_teststation_trainyears,cond_12h,gbm,,,,440463,,,,0.296067503541497,0.28379257122629786
A_trainstation_testyears,cond_24h,gbm,,,,670545,,,,0.29396890180359886,0.275177514286058
C_teststation_testyears,cond_24h,gbm,,,,90265,,,,0.2538875977499051,0.23870648896768165
B_teststation_trainyears,cond_24h,gbm,,,,442262,,,,0.25919385701455944,0.24482477056559204
