cell,target,model,bss,bss_val,auc,n,bss_minus_sager,diff_lo,diff_hi,heidke,peirce
A_trainstation_testyears,precip_6h,gbm,0.3773963117217406,0.3847099159411196,0.8751431824512366,3509914,0.1688169255226427,0.1673077654176116,0.17018730189918832,,
C_teststation_testyears,precip_6h,gbm,0.3472940626585782,0.3847099159411196,0.8500048791777193,576854,,,,,
B_teststation_trainyears,precip_6h,gbm,0.28824561847988084,0.3847099159411196,0.8416583005400478,2805176,,,,,
A_trainstation_testyears,precip_12h,gbm,0.3107346052043888,0.3201351885761784,0.8459992952038373,3510655,0.18252437231951835,0.18071267176273295,0.18421814714961468,,
C_teststation_testyears,precip_12h,gbm,0.26333928636002857,0.3201351885761784,0.8126054133872183,577242,,,,,
B_teststation_trainyears,precip_12h,gbm,0.23186190599543421,0.3201351885761784,0.8115135370792075,2803090,,,,,
A_trainstation_testyears,precip_24h,gbm,0.24328557756231806,0.25540472279813664,0.8216896453413934,3507943,0.1935670047334871,0.19095602648560753,0.19590304978377795,,
C_teststation_testyears,precip_24h,gbm,0.1829832769442774,0.25540472279813664,0.783261068015127,576647,,,,,
B_teststation_trainyears,precip_24h,gbm,0.1738743619411749,0.25540472279813664,0.7875302544156586,2789475,,,,,
A_trainstation_testyears,windup_6h,gbm,0.3826297173569144,0.3833025022662251,0.8675598483518353,3477936,0.36527324998314015,0.3640010623591473,0.36648051117771435,,
C_teststation_testyears,windup_6h,gbm,0.3513057449749788,0.3833025022662251,0.853341163963971,573293,,,,,
B_teststation_trainyears,windup_6h,gbm,0.2584869139105883,0.3833025022662251,0.8136262073707649,2794107,,,,,
A_trainstation_testyears,windup_12h,gbm,0.4108763137477607,0.4091296684321962,0.871483419845287,3482719,0.3901797617569742,0.3888342164654278,0.39144406548381233,,
C_teststation_testyears,windup_12h,gbm,0.3757550577859843,0.4091296684321962,0.8561080871152376,574380,,,,,
B_teststation_trainyears,windup_12h,gbm,0.29511223400923603,0.4091296684321962,0.8211059352223449,2792235,,,,,
A_trainstation_testyears,windup_24h,gbm,0.35946541229871454,0.3618037265644788,0.8504280006806709,3480732,0.34813192345376665,0.3467925981182163,0.3494755264844463,,
C_teststation_testyears,windup_24h,gbm,0.32998172565073036,0.3618037265644788,0.835469174614254,574107,,,,,
B_teststation_trainyears,windup_24h,gbm,0.25927731750900307,0.3618037265644788,0.7983290658611342,2785244,,,,,
A_trainstation_testyears,pfall_6h,gbm,0.4810246368581115,0.4815598840926475,0.9488786213422626,3505228,0.5590313700864407,0.5552023518080047,0.5626683367874415,,
C_teststation_testyears,pfall_6h,gbm,0.41824926621405567,0.4815598840926475,0.9343390253129282,575982,,,,,
B_teststation_trainyears,pfall_6h,gbm,0.39231679556005605,0.4815598840926475,0.9305339529404831,2785346,,,,,
A_trainstation_testyears,pfall_12h,gbm,0.401280937616753,0.40841610577848697,0.9062003278695989,3506269,0.4909511601340695,0.48727654655547903,0.49431259685787315,,
C_teststation_testyears,pfall_12h,gbm,0.3596556272169207,0.40841610577848697,0.8908715801792768,576435,,,,,
B_teststation_trainyears,pfall_12h,gbm,0.3328488584430431,0.40841610577848697,0.8837400974595591,2783799,,,,,
A_trainstation_testyears,pfall_24h,gbm,0.2428701854852876,0.25511879457603237,0.8338233624819451,3503019,0.33619433826071565,0.33307207817637335,0.3390235718253968,,
C_teststation_testyears,pfall_24h,gbm,0.21840823635251483,0.25511879457603237,0.8203156026506113,575659,,,,,
B_teststation_trainyears,pfall_24h,gbm,0.21680126923296872,0.25511879457603237,0.819096695004533,2777328,,,,,
A_trainstation_testyears,cond_12h,gbm,,,,3512322,,,,0.34833856682242664,0.32597337579878544
C_teststation_testyears,cond_12h,gbm,,,,577938,,,,0.30630707834108317,0.28234545848834736
B_teststation_trainyears,cond_12h,gbm,,,,2815764,,,,0.2892616912061413,0.26686225888974385
A_trainstation_testyears,cond_24h,gbm,,,,3512738,,,,0.28411677629028675,0.26110310932034403
C_teststation_testyears,cond_24h,gbm,,,,577862,,,,0.24220566995997123,0.21761563913527482
B_teststation_trainyears,cond_24h,gbm,,,,2827034,,,,0.2347705546318348,0.21253223516359082
