cell,target,model,brier,bss,auc,n,bss_lo,bss_hi,heidke,peirce
A_trainstation_testyears,precip_6h,climatology,0.16721443323252966,0.0,0.5887592881931016,5851,,,,
A_trainstation_testyears,precip_6h,persistence,0.15313621603144761,0.08419259587182149,0.67996784046395,5851,,,,
A_trainstation_testyears,precip_6h,zambretti_cal,0.16829653563418867,-0.006853573820976289,0.5681239140183809,5850,-0.0392434098959772,0.025293984849088975,,
A_trainstation_testyears,precip_6h,sager_cal,0.14363628894196834,0.1414078765170823,0.7024945152370112,5651,0.10164583527996104,0.1786315512862352,,
A_trainstation_testyears,precip_6h,logreg,0.11846865095272859,0.29151659541263897,0.821202261308692,5851,0.24909579190172793,0.3341303556427377,,
A_trainstation_testyears,precip_6h,sager_faithful,0.3471951866926208,-1.075374230295679,0.6244219037664007,5651,,,,
A_trainstation_testyears,precip_12h,climatology,0.2081665364305853,0.0,0.5974635020779641,5847,,,,
A_trainstation_testyears,precip_12h,persistence,0.23978108431674364,-0.15187142193097136,0.6293150323141934,5847,,,,
A_trainstation_testyears,precip_12h,zambretti_cal,0.21239838264623684,-0.020486381680854482,0.5654322532983344,5846,-0.06574303831868243,0.024073817064871605,,
A_trainstation_testyears,precip_12h,sager_cal,0.19241810159651504,0.07851392690910208,0.6622748181199389,5647,0.0313330653745556,0.1242167278984586,,
A_trainstation_testyears,precip_12h,logreg,0.16253546763331256,0.21920463096377052,0.7850114037268163,5847,0.17454388557447395,0.26542808031034976,,
A_trainstation_testyears,precip_12h,sager_faithful,0.37418098105188596,-0.7919445207801954,0.5938244803708649,5647,,,,
A_trainstation_testyears,precip_24h,climatology,0.23354926162054718,0.0,0.6307776408083772,5839,,,,
A_trainstation_testyears,precip_24h,persistence,0.36924130844322656,-0.5809996823845298,0.5912970804652155,5839,,,,
A_trainstation_testyears,precip_24h,zambretti_cal,0.242343977611114,-0.03766778072015686,0.5751888366801843,5838,-0.09703286062348453,0.022620263292336608,,
A_trainstation_testyears,precip_24h,sager_cal,0.23245155166964745,0.007206599356300525,0.6229197423420448,5639,-0.057215348769917206,0.06871643127009229,,
A_trainstation_testyears,precip_24h,logreg,0.19841950363415684,0.1504169088038757,0.7552680067537849,5839,0.10360696364796325,0.2067852571372612,,
A_trainstation_testyears,precip_24h,sager_faithful,0.42702606845185315,-0.8238151546707093,0.5616133479017646,5639,,,,
A_trainstation_testyears,windup_6h,climatology,0.18975457612914587,0.0,0.541504356425305,5851,,,,
A_trainstation_testyears,windup_6h,persistence,0.25551187831139976,-0.34653868973099144,0.5,5851,,,,
A_trainstation_testyears,windup_6h,zambretti_cal,0.1874735992164042,0.012145970063702105,0.5672085674022478,5850,0.002771197053663557,0.020856945286272025,,
A_trainstation_testyears,windup_6h,sager_cal,0.17990831551346836,0.015448978096131105,0.5821001133590044,5651,0.006914566341206738,0.02388943838516656,,
A_trainstation_testyears,windup_6h,logreg,0.13376631680101758,0.2950561745083976,0.8316078080900214,5851,0.27054094460970485,0.3220343631653669,,
A_trainstation_testyears,windup_6h,sager_faithful,0.3845337108476376,-1.1043666430370531,0.5289670601535397,5651,,,,
A_trainstation_testyears,windup_12h,climatology,0.23681979181820098,0.0,0.5380105985077404,5847,,,,
A_trainstation_testyears,windup_12h,persistence,0.3863519753719856,-0.6314175956567674,0.5,5847,,,,
A_trainstation_testyears,windup_12h,zambretti_cal,0.23356914171265378,0.01380649999882888,0.5609226199621796,5846,0.0036620517710525963,0.024100073262691084,,
A_trainstation_testyears,windup_12h,sager_cal,0.23056984797419833,0.013384036595070814,0.5667089500101417,5647,0.004536982493659062,0.022218075296234995,,
A_trainstation_testyears,windup_12h,logreg,0.1598543263245816,0.3249959173712277,0.8343191090462873,5847,0.29293159625590975,0.3611425048421282,,
A_trainstation_testyears,windup_12h,sager_faithful,0.42110855321409596,-0.8019373503419847,0.5347833488408033,5647,,,,
A_trainstation_testyears,windup_24h,climatology,0.24807301159491352,0.0,0.5567267794539934,5839,,,,
A_trainstation_testyears,windup_24h,persistence,0.5161842781298167,-1.0807756346051494,0.5,5839,,,,
A_trainstation_testyears,windup_24h,zambretti_cal,0.24784182871202415,0.0009549416576065672,0.539149690490647,5838,-0.010528451242469988,0.011864220074281728,,
A_trainstation_testyears,windup_24h,sager_cal,0.24660560311405527,0.007465670156223125,0.5540486380001359,5639,-0.007552234115750011,0.021066567024995247,,
A_trainstation_testyears,windup_24h,logreg,0.1776946055491571,0.28370037350406996,0.8129975160167009,5839,0.2560982618618902,0.3127504575663679,,
A_trainstation_testyears,windup_24h,sager_faithful,0.480936336229828,-0.9356649571203006,0.520064999106844,5639,,,,
A_trainstation_testyears,pfall_6h,climatology,0.13616310811971397,0.0,0.8315005531632744,5849,,,,
A_trainstation_testyears,pfall_6h,persistence,0.20584715335954865,-0.5117689086427786,0.7089379482422943,5849,,,,
A_trainstation_testyears,pfall_6h,zambretti_cal,0.1515352773787488,-0.11270498724679467,0.7340506952448136,5848,-0.1646575889913208,-0.07627989276082461,,
A_trainstation_testyears,pfall_6h,sager_cal,0.18396059275743612,-0.36010377472037436,0.6272146709035814,5649,-0.41680130816437255,-0.32234809723423985,,
A_trainstation_testyears,pfall_6h,logreg,0.07083702710554035,0.47976343898333484,0.9546626511110449,5849,0.44920610865726174,0.5125105231506905,,
A_trainstation_testyears,pfall_12h,climatology,0.13549078492205058,0.0,0.848412389581505,5847,,,,
A_trainstation_testyears,pfall_12h,persistence,0.26492218231571746,-0.9552782314172161,0.660978501045796,5847,,,,
A_trainstation_testyears,pfall_12h,zambretti_cal,0.18783827771600653,-0.3861175300009836,0.7093980420059557,5846,-0.46832556623927807,-0.33047331507817496,,
A_trainstation_testyears,pfall_12h,sager_cal,0.22097327366626113,-0.6295968502207554,0.5908884687289958,5647,-0.7068147359615359,-0.5618222143409731,,
A_trainstation_testyears,pfall_12h,logreg,0.0819438090895866,0.3952075107046592,0.937379089294573,5847,0.3437881086144009,0.434061207457956,,
A_trainstation_testyears,pfall_24h,climatology,0.13246484766089706,0.0,0.8700389566299961,5839,,,,
A_trainstation_testyears,pfall_24h,persistence,0.3510875149854427,-1.6504202525050875,0.6334578876640241,5839,,,,
A_trainstation_testyears,pfall_24h,zambretti_cal,0.21446093303820832,-0.6187288451943556,0.7035400856089438,5838,-0.759656395718484,-0.5008958889144582,,
A_trainstation_testyears,pfall_24h,sager_cal,0.2461332058802645,-0.8630579045211453,0.5851989522507532,5639,-1.0641251028672865,-0.6762574980345482,,
A_trainstation_testyears,pfall_24h,logreg,0.12181967938889506,0.08036221276797195,0.8936261755028319,5839,0.03778443142569187,0.11976472586413955,,
